Estado: (2, 1), Acción: (0, 1), Nueva posición: [2, 2], Recompensa: -0.1, Caida Epsilon: 0.5309055429551132
Estado: (2, 2), Acción: (0, 1), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.525596487525562
Estado: (2, 3), Acción: (0, -1), Nueva posición: [2, 2], Recompensa: -0.1, Caida Epsilon: 0.5203405226503064
Estado: (2, 2), Acción: (-1, 0), Nueva posición: [2, 2], Recompensa: -1, Caida Epsilon: 0.5151371174238033
Estado: (2, 2), Acción: (0, 1), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.5099857462495653
Estado: (2, 3), Acción: (1, 0), Nueva posición: [3, 3], Recompensa: -0.1, Caida Epsilon: 0.5048858887870696
Estado: (3, 3), Acción: (-1, 0), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.4998370298991989
Estado: (2, 3), Acción: (1, 0), Nueva posición: [3, 3], Recompensa: -0.1, Caida Epsilon: 0.49483865960020695
Estado: (3, 3), Acción: (0, 1), Nueva posición: [3, 3], Recompensa: -1, Caida Epsilon: 0.4898902730042049
Estado: (3, 3), Acción: (1, 0), Nueva posición: [4, 3], Recompensa: -0.1, Caida Epsilon: 0.48499137027416284
Estado: (4, 3), Acción: (-1, 0), Nueva posición: [3, 3], Recompensa: -0.1, Caida Epsilon: 0.4801414565714212
Estado: (3, 3), Acción: (-1, 0), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.475340042005707
Estado: (2, 3), Acción: (1, 0), Nueva posición: [3, 3], Recompensa: -0.1, Caida Epsilon: 0.47058664158564995
Estado: (3, 3), Acción: (1, 0), Nueva posición: [4, 3], Recompensa: -0.1, Caida Epsilon: 0.4658807751697934
Estado: (4, 3), Acción: (0, 1), Nueva posición: [4, 4], Recompensa: -0.1, Caida Epsilon: 0.4612219674180955
Estado: (4, 4), Acción: (0, 1), Nueva posición: [4, 5], Recompensa: -0.1, Caida Epsilon: 0.45660974774391455
