Estado: (4, 2), Acción: (1, 0), Nueva posición: [4, 2], Recompensa: -1
Estado: (4, 2), Acción: (0, -1), Nueva posición: [4, 1], Recompensa: -0.1
Estado: (4, 1), Acción: (-1, 0), Nueva posición: [3, 1], Recompensa: -0.1
Estado: (3, 1), Acción: (0, 1), Nueva posición: [3, 1], Recompensa: -1
Estado: (3, 1), Acción: (0, 1), Nueva posición: [3, 1], Recompensa: -1
Estado: (3, 1), Acción: (-1, 0), Nueva posición: [2, 1], Recompensa: -0.1
Estado: (2, 1), Acción: (0, -1), Nueva posición: [2, 0], Recompensa: -0.1
Estado: (2, 0), Acción: (-1, 0), Nueva posición: [2, 0], Recompensa: -1
Estado: (2, 0), Acción: (0, -1), Nueva posición: [2, 0], Recompensa: -1
Estado: (2, 0), Acción: (0, 1), Nueva posición: [2, 1], Recompensa: -0.1
Estado: (2, 1), Acción: (-1, 0), Nueva posición: [1, 1], Recompensa: -0.1
Estado: (1, 1), Acción: (-1, 0), Nueva posición: [0, 1], Recompensa: -0.1
Estado: (0, 1), Acción: (0, 1), Nueva posición: [0, 1], Recompensa: -1
Estado: (0, 1), Acción: (1, 0), Nueva posición: [1, 1], Recompensa: -0.1
Estado: (1, 1), Acción: (0, 1), Nueva posición: [1, 1], Recompensa: -1
Estado: (1, 1), Acción: (1, 0), Nueva posición: [2, 1], Recompensa: -0.1
Estado: (2, 1), Acción: (1, 0), Nueva posición: [3, 1], Recompensa: -0.1
Estado: (3, 1), Acción: (1, 0), Nueva posición: [4, 1], Recompensa: -0.1
Estado: (4, 1), Acción: (0, 1), Nueva posición: [4, 2], Recompensa: -0.1
Estado: (4, 2), Acción: (0, 1), Nueva posición: [4, 3], Recompensa: -0.1
Estado: (4, 3), Acción: (-1, 0), Nueva posición: [3, 3], Recompensa: -0.1
Estado: (3, 3), Acción: (0, -1), Nueva posición: [3, 3], Recompensa: -1
Estado: (3, 3), Acción: (0, -1), Nueva posición: [3, 3], Recompensa: -1
Estado: (3, 3), Acción: (0, 1), Nueva posición: [3, 3], Recompensa: -1
Estado: (3, 3), Acción: (-1, 0), Nueva posición: [2, 3], Recompensa: -0.1
Estado: (2, 3), Acción: (0, 1), Nueva posición: [2, 4], Recompensa: -0.1
Estado: (2, 4), Acción: (1, 0), Nueva posición: [2, 4], Recompensa: -1
Estado: (2, 4), Acción: (0, 1), Nueva posición: [2, 5], Recompensa: -0.1
Estado: (2, 5), Acción: (-1, 0), Nueva posición: [1, 5], Recompensa: -0.1
Estado: (1, 5), Acción: (0, -1), Nueva posición: [1, 5], Recompensa: -1
Estado: (1, 5), Acción: (1, 0), Nueva posición: [2, 5], Recompensa: -0.1
Estado: (2, 5), Acción: (1, 0), Nueva posición: [3, 5], Recompensa: -0.1
Estado: (3, 5), Acción: (1, 0), Nueva posición: [4, 5], Recompensa: -0.1
Estado: (4, 5), Acción: (0, -1), Nueva posición: [4, 4], Recompensa: -0.1
Estado: (4, 4), Acción: (0, 1), Nueva posición: [4, 5], Recompensa: -0.1
Estado: (4, 5), Acción: (0, -1), Nueva posición: [4, 4], Recompensa: -0.1
Estado: (4, 4), Acción: (0, -1), Nueva posición: [4, 3], Recompensa: -0.1
