Estado,Acción,Q-valor
"(0, 4)",Izquierda,-0.27279441869977705
"(0, 4)",Arriba,-0.390439222789812
"(0, 5)",Derecha,-0.3885802596078307
"(0, 5)",Abajo,-0.2542247367044423
"(0, 5)",Izquierda,-0.26316862323122725
"(0, 5)",Arriba,-0.47208722743120296
"(5, 3)",Derecha,-0.0826940301118648
"(5, 3)",Abajo,-0.22704644879004102
"(5, 3)",Izquierda,-0.01881987961048115
"(5, 3)",Arriba,2.8092813443950253
"(6, 3)",Derecha,-0.29399654928068514
"(6, 3)",Abajo,-0.2232713973056801
"(6, 3)",Izquierda,-0.22919947663827367
"(6, 3)",Arriba,-0.23053040377767445
"(6, 2)",Derecha,-0.23041258077785629
"(6, 2)",Abajo,-0.29701
"(6, 2)",Izquierda,-1.0
"(6, 2)",Arriba,-0.29701
"(7, 3)",Derecha,-0.29701
"(7, 3)",Abajo,-0.29701
"(7, 3)",Izquierda,-0.29701
"(7, 3)",Arriba,-0.22507130277267928
"(5, 7)",Derecha,5.37752482259041
"(5, 7)",Abajo,8.89994130946534
"(5, 7)",Izquierda,3.611084558105199
"(5, 7)",Arriba,5.196211121315001
"(6, 7)",Derecha,2.6853688685784407
"(6, 7)",Abajo,9.999993351268817
"(6, 7)",Izquierda,4.554742553838626
"(6, 7)",Arriba,4.112418654540176
"(1, 7)",Derecha,-0.38804657773882223
"(1, 7)",Abajo,-0.29067483763900004
"(1, 7)",Izquierda,-0.2457340683995645
"(1, 7)",Arriba,-0.24564843807748535
"(0, 7)",Derecha,-0.38874889322157963
"(0, 7)",Abajo,-0.24583197812355878
"(0, 7)",Izquierda,-0.5444398545492424
"(0, 7)",Arriba,-0.2881
