Estado: (1, 6), Acción: (0, 1), Nueva posición: [1, 7], Recompensa: -0.1, Caida Epsilon: 0.7397003733882802
Estado: (1, 7), Acción: (0, 1), Nueva posición: [1, 7], Recompensa: -1, Caida Epsilon: 0.7323033696543974
Estado: (1, 7), Acción: (0, 1), Nueva posición: [1, 7], Recompensa: -1, Caida Epsilon: 0.7249803359578534
Estado: (1, 7), Acción: (0, -1), Nueva posición: [1, 6], Recompensa: -0.1, Caida Epsilon: 0.7177305325982748
Estado: (1, 6), Acción: (0, 1), Nueva posición: [1, 7], Recompensa: -0.1, Caida Epsilon: 0.7105532272722921
Estado: (1, 7), Acción: (-1, 0), Nueva posición: [0, 7], Recompensa: -0.1, Caida Epsilon: 0.7034476949995692
Estado: (0, 7), Acción: (0, 1), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.6964132180495735
Estado: (0, 7), Acción: (0, -1), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.6894490858690777
Estado: (0, 7), Acción: (-1, 0), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.682554595010387
Estado: (0, 7), Acción: (0, 1), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.6757290490602831
Estado: (0, 7), Acción: (0, 1), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.6689717585696803
Estado: (0, 7), Acción: (0, 1), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.6622820409839835
Estado: (0, 7), Acción: (0, 1), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.6556592205741436
Estado: (0, 7), Acción: (0, -1), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.6491026283684022
Estado: (0, 7), Acción: (1, 0), Nueva posición: [1, 7], Recompensa: -0.1, Caida Epsilon: 0.6426116020847181
Estado: (1, 7), Acción: (-1, 0), Nueva posición: [0, 7], Recompensa: -0.1, Caida Epsilon: 0.6361854860638709
Estado: (0, 7), Acción: (1, 0), Nueva posición: [1, 7], Recompensa: -0.1, Caida Epsilon: 0.6298236312032323
Estado: (1, 7), Acción: (-1, 0), Nueva posición: [0, 7], Recompensa: -0.1, Caida Epsilon: 0.6235253948912
Estado: (0, 7), Acción: (0, 1), Nueva posición: [0, 7], Recompensa: -1, Caida Epsilon: 0.617290140942288
Estado: (0, 7), Acción: (1, 0), Nueva posición: [1, 7], Recompensa: -0.1, Caida Epsilon: 0.6111172395328651
Estado: (1, 7), Acción: (0, 1), Nueva posición: [1, 7], Recompensa: -1, Caida Epsilon: 0.6050060671375365
Estado: (1, 7), Acción: (0, -1), Nueva posición: [1, 6], Recompensa: -0.1, Caida Epsilon: 0.5989560064661611
Estado: (1, 6), Acción: (0, -1), Nueva posición: [1, 5], Recompensa: -0.1, Caida Epsilon: 0.5929664464014994
Estado: (1, 5), Acción: (-1, 0), Nueva posición: [0, 5], Recompensa: -0.1, Caida Epsilon: 0.5870367819374844
Estado: (0, 5), Acción: (0, -1), Nueva posición: [0, 4], Recompensa: -0.1, Caida Epsilon: 0.5811664141181095
Estado: (0, 4), Acción: (1, 0), Nueva posición: [0, 4], Recompensa: -1, Caida Epsilon: 0.5753547499769285
Estado: (0, 4), Acción: (0, -1), Nueva posición: [0, 3], Recompensa: -0.1, Caida Epsilon: 0.5696012024771592
Estado: (0, 3), Acción: (0, -1), Nueva posición: [0, 3], Recompensa: -1, Caida Epsilon: 0.5639051904523876
Estado: (0, 3), Acción: (-1, 0), Nueva posición: [0, 3], Recompensa: -1, Caida Epsilon: 0.5582661385478638
Estado: (0, 3), Acción: (0, 1), Nueva posición: [0, 4], Recompensa: -0.1, Caida Epsilon: 0.5526834771623851
Estado: (0, 4), Acción: (0, -1), Nueva posición: [0, 3], Recompensa: -0.1, Caida Epsilon: 0.5471566423907612
Estado: (0, 3), Acción: (1, 0), Nueva posición: [1, 3], Recompensa: -0.1, Caida Epsilon: 0.5416850759668536
Estado: (1, 3), Acción: (0, -1), Nueva posición: [1, 3], Recompensa: -1, Caida Epsilon: 0.536268225207185
Estado: (1, 3), Acción: (1, 0), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.5309055429551132
Estado: (2, 3), Acción: (0, 1), Nueva posición: [2, 4], Recompensa: -0.1, Caida Epsilon: 0.525596487525562
Estado: (2, 4), Acción: (0, -1), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.5203405226503064
Estado: (2, 3), Acción: (0, -1), Nueva posición: [2, 2], Recompensa: -0.1, Caida Epsilon: 0.5151371174238033
Estado: (2, 2), Acción: (0, 1), Nueva posición: [2, 3], Recompensa: -0.1, Caida Epsilon: 0.5099857462495653
Estado: (2, 3), Acción: (0, 1), Nueva posición: [2, 4], Recompensa: -0.1, Caida Epsilon: 0.5048858887870696
Estado: (2, 4), Acción: (-1, 0), Nueva posición: [2, 4], Recompensa: -1, Caida Epsilon: 0.4998370298991989
Estado: (2, 4), Acción: (0, 1), Nueva posición: [2, 5], Recompensa: -0.1, Caida Epsilon: 0.49483865960020695
Estado: (2, 5), Acción: (1, 0), Nueva posición: [3, 5], Recompensa: -0.1, Caida Epsilon: 0.4898902730042049
Estado: (3, 5), Acción: (1, 0), Nueva posición: [4, 5], Recompensa: -0.1, Caida Epsilon: 0.48499137027416284
Estado: (4, 5), Acción: (-1, 0), Nueva posición: [3, 5], Recompensa: -0.1, Caida Epsilon: 0.4801414565714212
Estado: (3, 5), Acción: (1, 0), Nueva posición: [4, 5], Recompensa: -0.1, Caida Epsilon: 0.475340042005707
Estado: (4, 5), Acción: (1, 0), Nueva posición: [5, 5], Recompensa: -0.1, Caida Epsilon: 0.47058664158564995
Estado: (5, 5), Acción: (0, 1), Nueva posición: [5, 6], Recompensa: -0.1, Caida Epsilon: 0.4658807751697934
Estado: (5, 6), Acción: (0, 1), Nueva posición: [5, 7], Recompensa: -0.1, Caida Epsilon: 0.4612219674180955
Estado: (5, 7), Acción: (1, 0), Nueva posición: [6, 7], Recompensa: -0.1, Caida Epsilon: 0.45660974774391455
Estado: (6, 7), Acción: (0, -1), Nueva posición: [6, 7], Recompensa: -1, Caida Epsilon: 0.4520436502664754
